Название,Категория,Популярность,Длительность,Краткое описание,Полное описание
Теплый душ под пение птиц,Восстанавливающие программы,88%,5 минут,Природа - самый лучший лекарь. Насладитесь спокойствием леса под пение птиц и тёплый летний дождь. Окунитесь в гармонию с природой.,"Звуковая дорожка - пение птиц без музыкального сопровождения. На протяжении всей программы льёт тёплый душ, лишь однажды к нему подключается большой водопад. Немного свежести добавляет туман в первой трети программы. Свет мягко переливается."
Тропический дождь,Восстанавливающие программы,87%,3 минуты,"
	 Энергия воды и ритма в стиле лёгкого dubstep задаст темп вашему продуктивному дню! Для тех кто знает цену времени и хочет попробовать всё и сразу.
","
	 Тёплый душ, как неотъемлемая часть, будет сопровождать вас всю программу. Музыкальное настроение подвижное и беззаботное. На протяжении трека, туман будет освежать вас короткими включениями регулярно. Чтобы разнообразить воду, оба водопада будут чередоваться между собой. Датчики аромата добавят вашему посещению яркости и вы войдёте во вкус. Световое сопровождение разнообразное, преимущественно наполненное мягкими переливами цвета.
"
Стрип-Дэнс,Восстанавливающие программы,82%,2 минуты,"
	Чувственная атмосфера романтики медленно проникнет сквозь тело и заставит раскрыть ваши тайные желания. Программа настроит на страстный вечер со своей половинкой, растопит в потоке любви и ароматов.
","
	Сначала свет. В прелюдии - соло у водопада, к которому позже присоединяется тропический дождь. Далее, равновременными подачами воды, добавляется туман, аромат и три блока форсунок, за счёт чего, телу задаётся пульсация, способная настроить на нужный лад. Далее тело отдыхает под вновь сольным исполнением водопада. Со временем, ливнем, начинается тропический дождь, после чего оба водопада,дождь, туман и свет, работают синхронно с музыкой. В завершении, все варианты форсунок задействованы, но ритмическая основа остаётся только у боковых и света. Вся программа наполнена ароматом, плавным свечением и тёплой водой. Замёрзнуть не получится.
"
Тропический циклон,Восстанавливающие программы,80%,34 минуты,"Тёплый парящий туман будет окутывать ваше тело, равномерно разогревая его до комфортной температуры. Не пугайтесь, если синоптики объявят кратковременные грозы, вода поможет отдохнуть и снять жар. После дождя, как известно, испарение. Круговорот воды никто не отменял!","Умиротворённая фоновая музыка со статичным белым освещением будет сопровождать парогенератор на протяжении нескольких минут. Шум волны и пение птиц помогут почувствовать себя ближе к природе. Далее сквозь небольшой туман и плавную смену света, сверху обрушится гроза, сопровождаемая характерным звуком и мигающей подсветкой. Так продолжается порядка 60 секунд, после чего гроза стихает, снова шум волны, пение птиц и фоновая подложка. Далее программа циклична."
Винный закат,Восстанавливающие программы,79%,2 минуты,"
	 Вы были на море? Тогда вам есть о чём помечтать. Море, закат, бокал вина, тёплый ветер и шум волны. Беззаботный и романтичный ритм настроит вас на нужный лад. Поностальгируйте.
","
	 Простой тёплый дождь будет литься на вас под плавную смену световых эффектов. Тёплая струя водопада, вперемешку с прохладным туманом, создают ощущение морского бриза. Далее вы почувствуете аромат и снова хлынет тёплый дождь. Большой водопад упадёт вам на плечи и будет расслаблять вас до конца программы, после чего вы вновь почувствуете морской бриз и приятный аромат воспоминаний.
"
Моя любовь,Восстанавливающие программы,78%,4 минуты,"Вы почувствуете атмосферу Кубы под завораживающую музыку в стиле «хабанера». Кратковременные холодные струи водопада обрушатся на вас в такт первым четырём аккордам, вместе с красной пульсирующей подсветкой, после чего, мягкий дождь согреет вас своим теплом. Вскоре вы почувствуете приятный терпкий аромат и будете наслаждаться лёгким бризом, донесшимся с берегов Карибского моря. Большой водопад промассирует ваши плечи и вы почувствуете лёгкость. Программа довольно контрастная по температуре и будет наиболее интересна после термотерапии.","Сначала четыре холодные струи воды длиной по одной секунде. Далее к холодному водопаду присоединяется тёплый дождь. В это время наслаивается непродолжительный туман с ароматом. Далее большой водопад. Затем опять тёплый дождь, который позже разбавит холодный водопад и прохладный туман. После, водопад 2 станет тёплым и будет перекликаться с тёплым водопадом 1. Затем туман. Программа завершится прохладным водопадом и туманом. Подсветка с преобладанием красного освещения."
Северное сияние,Восстанавливающие программы,77%,3 минуты,"Лаунж, шум прибоя и крики чаек - лучший пейзаж безмятежности. Самое время навести порядок в своей голове.",Если понравившаяся вам душевая программа несовместима с вашим оборудованием - вы можете самостоятельно ее адаптировать благодаря удобному конструктору программ.
Морской бриз,Восстанавливающие программы,77%,3 минуты,"Лаунж, шум прибоя и крики чаек - лучший пейзаж безмятежности. Самое время навести порядок в своей голове.","Программа начинается с прозрачной музыки и плавного включения синей подсветки. Практически сразу их подхватывает лёгкий тёплый душ. К нему подключается водопад, а затем туман. Вскоре в душевую комнату подаётся аромат вместе с лёгким душем. Туман включается на стыке переключения леек с более обильной водой. Далее конфигурация практически повторяется. Всю программу плавное световое сопровождение, периодически слышится шум волны и звуки чаек."
Летний дождь,Восстанавливающие программы,77%,2 минуты,"
	 Горы - это и зелёные возвышенности, и быстрые реки, каменные валуны, скалистые и снежные склоны; они такие разные, но объединяет их одно - наверху каждой из них царит прохлада. Поднимаясь по горной тропе, вы почувствуете постепенную смену температур и хвойный аромат, а на вершине непременно ощутите мятную морозную свежесть.
",Если понравившаяся вам душевая программа несовместима с вашим оборудованием - вы можете самостоятельно ее адаптировать благодаря удобному конструктору программ.
Горная тропа,Восстанавливающие программы,76%,3 минуты,"
	 Горы - это и зелёные возвышенности, и быстрые реки, каменные валуны, скалистые и снежные склоны; они такие разные, но объединяет их одно - наверху каждой из них царит прохлада. Поднимаясь по горной тропе, вы почувствуете постепенную смену температур и хвойный аромат, а на вершине непременно ощутите мятную морозную свежесть.
","
	 Первая станция ступенчато открывает новую форсунку, наслаивая на предыдущую. Умеренный тёплый дождь, умеренный холодный, тёплые боковые. Освещение - белое. Во второй станции прохладный туман с ароматом «Сибирь». Освещение - жёлтое. Третья станция начинается с тёплого водопада, затем завершается на 1.12, сменяясь тёплым ливнем и холодными боковыми. У боковых три включения по 2 секунды с перерывом в 4 секунды. Тёплый ливень работает до конца станции. Освещение - зелёное. На четвёртой станции тёплые боковые работают непрерывно 30 секунд. Поверх них два включения лёгкого холодного дождя 1.36-1.42 и 1.48-1.54. Освещение - красное. Пятая станция - холодный туман с ароматом «Полярная ночь». Освещение - белое.
"
